title,link,content,date
"Opportunity Alert-.Receptionists, Drivers, Sales, Cook And More",https://opportunitiesforyoungkenyans.co.ke/2018/01/02/opportunity-alert-receptionists-drivers-sales-cook/,"Have you started your job hunting mission in 2018, we are here to help. Check out the below vacancies and apply immediately. Vacancies 1.Receptionist, 2.Chef, 3. Cook, 4. Room stewards, 5.Driver, 5.Hotel sales and/or marketing personnel Application Forward cv to info (at) vancemuriu (dot) com Caution Avoid sending any kind of help such as money so that you can secure the job. Dont send any facilitation fee such as medical fee, training fee, registration fee, documents processing fee, commission fee or entrance fee. If they need your money, let them deduct from your first salary. Remember also not to hand in your valuables such as mobile phones, wallets, purse, personal bags etc. Keep them safe within yourself. We shall not be liable to any loss you incur. Please keep in mind that conmen and conwomen work tirelessly day and night to come up with new tactics to steal from innocent job seekers",2018-01-02
DJs Wanted,https://opportunitiesforyoungkenyans.co.ke/2018/01/03/disk-jokers-wanted/,,2018-01-03
Kenya Orient Hiring,https://opportunitiesforyoungkenyans.co.ke/2018/01/03/kenya-orient-hiring/,"Career Opportunity Audit Executive The position is responsible for carrying out audits with a view to ensuring compliance with technical, operational, regulatory and corporate governance through adherence to KOIL procedures. Job Details Apply for Job",2018-01-03
Isiolo County Are Hiring,https://opportunitiesforyoungkenyans.co.ke/2018/01/03/isiolo-county-hiring/,,2018-01-03
Afromum Looking For Business Developement Lead,https://opportunitiesforyoungkenyans.co.ke/2018/01/03/afromum-looking-business-developer/,We are seeking a Business Development Lead. Deep understanding of digital marketing is a must. Experience/ grasp of the FMCG space would be an added advantage. http://www. afromum.com/wp-content/upl oads/2018/01/Business-Development-Lead-AfroMum.pdf ... Business-Development-Lead-AfroMum,2018-01-03
Accounts Manager Needed,https://opportunitiesforyoungkenyans.co.ke/2018/01/03/accounts-manager-needed/,VACANCY!!! Position: Account Manager. Deadline: 04/01/2018. Qualification: Degree Holder. Apply to: [email protected],2018-01-03
Bliss Hiring  5 Vacancies,https://opportunitiesforyoungkenyans.co.ke/2018/01/03/bliss-hiring/,,2018-01-03
"Wecreate Kenya Hiring In 8 Counties- Program Officers, Trainers,Mentors, Community Workers",https://opportunitiesforyoungkenyans.co.ke/2018/01/03/wecreate-kenya-hiring-8-counties/,,2018-01-03
MyCredit Limited Hiring Relationship Officer  Credit (4 positions)  Interns  Credit and Trade Finance (10 positions),https://opportunitiesforyoungkenyans.co.ke/2018/01/03/4888/,,2018-01-03
Apply For Kenya Scholar-Athlete Project (KenSAP) Scholarships,https://opportunitiesforyoungkenyans.co.ke/2018/01/03/aplly-kenya-scholar-athlete-project-kensap-scholarships/,"Selection of Candidates From more than 100 qualified applicants each year, KenSAP selects a between twelve and fifteen students. The approach is holistic, like that of top American universities, but it starts with the Kenya Certificate of Secondary Education (KCSE), Kenyas national high school leaving exam. As soon as the exam results come out, KenSAP starts receiving queries from students who have met the programs baseline requirement  a mean grade of A plain, the highest possible mark on the exam, achieved by about 12 of 1% of the more than 500,000 test takers. To broaden the programs reach, a radio announcement solicits queries from any new high school graduates who have scored A plain. Any student who shows evidence of having met the requirement is sent a detailed application form that includes several essays. On the basis of the application and the KCSE result, KenSAPs selection panel chooses a short-list of 60, who are invited to the programs tryout, which consists of an interview, a diagnostic test and a 1500-meter run. Students Backgrounds During selection, considerable weight is attached to students backgrounds, with preference given to those from uneducated households or otherwise disadvantaged circumstances. A majority of those selected come from peasant farming families; most are first-generation university, and many are first-generation high school. The Athlete Component For decades Kenyas renowned abundance of running talent has produced a steady flow of gifted runners to American universities on athletic scholarships. Most students granted athletic scholarships have attended institutions of somewhat lesser academic distinction than those to which KenSAP students apply. However, even Americas most academically selective institutions recruit athletes  a fact of which KenSAPs founders were well aware  and Kenyas wealth of running talent led the founders to expect that at least a few KenSAP students, though chosen largely for their academic accomplishments, might also turn out to be runners who would interest coaches at academically selective colleges, and thereby strengthen the students chances of admission. For that reason, all KenSAP students participate in regular athletic training during the programs residential sessions. So far, about 20% of the students in the program have had the support of college coaches during the admission process; several have become valuable contributors to their college teams, and one was a nine-time NCAA Division III national champion! (Peter Kosgei, at left.) APPLY HERE",2018-01-03
Clerical Officers Wanted- 10 Vacancies,https://opportunitiesforyoungkenyans.co.ke/2018/01/03/clerical-officers-wanted-10-vacancies/,,2018-01-03
Medical Doctor Wanted,https://opportunitiesforyoungkenyans.co.ke/2018/01/04/medical-doctor-wanted/,"Medical Doctor Application deadline: 7th January 2018 Industry: International Non Governmental Organization Location: Dagahaley, Kenya Experience: 0  2 years Project Summary : The objective of our project is to provide primary and secondary level of health care to the Refugees in Dagahaley refugee camp.  MSF provides a full package of medical care through 4 primary health care units and 1 hospital (100 beds) with 24 hour emergency and OT. Health services include curative, preventative, nutritional activities and emergency preparedness and intervention with partners. Package : Attractive package on offer with additional benefits including comprehensive health cover. Supportive learning environment within a large, dynamic International Medical Humanitarian Organization with dedicated career paths for proven staff. Contract duration: 12 months fixed term contract with possibility of extension based on performance. Main Tasks include: Conduct daily ward rounds on all patients in Adult ward (Both Medical & Surgical).Ensure timely emergency review of patients in this department when needed/indicated. Ensure timely review of all ER emergency cases. Conduct bi-weekly General outpatient clinic for cases booked in ER (Electives). Perform all surgical procedures for patients in Adult ward & ER (outpatient cases) in accordance with the MSF Dagahaley surgical theatre capacity list. Actively participate in the projects quality of care activities such as CMEs, Case reviews, Mortality audits & rational prescription audits. Provide technical support to palliative care clinical officer. Emergency preparedness team member: Attend to any mass emergency/casualties in the project area. Actively participate in disease surveillance and reporting by ensuring timely reporting of diseases of outbreak potential or any abnormal disease pattern noted. Ensure on job and theoretical training to the Clinical officers and nursing team in the department in collaboration with the Hospital Director &/Nursing activity manager. Perform any other duties assigned by the supervisor. Requirements: Kenyan national Preference to Recognized Medical Doctor Degree. 2 years post graduate experience related to the degree (preferably tropical medicine, or post-registration experience in Public Health , obs and gynae, paediatrics, AE, infectious diseases, HIV/AIDS/STDs, TB, general practice, general medicine or minor surgery. A minimum of 1 year experience with MSF preferably or with other INGO Registered and licensed to practise by the Kenya Medical and Dentists Board. Strong interpersonal skills, strong initiative, able to handle complex assignments with proactive attitude, organized, autonomous and attentive to details. Due to the nature of the work, an ability to speak Somali could be a strong advantage Organization Details MSF Switzerland Kenya www.msf.org Apply Now! Share this job to your network",2018-01-04
Tecflax Hiring Interns -18 Vacancies,https://opportunitiesforyoungkenyans.co.ke/2018/01/04/tecflax-hiring-interns-18-vacancies/,"Internship Opportunities Technical Sales/Marketing Intern (2 Positions) Overview We are looking for 2 talented Technical Sales/Marketing Interns to join our Sales/Marketing Team and be willing to learn and be trained and participate in sales and marketing of TecFlax Products and Services i.e. RedHat Solutions, SuSE Solutions, Training Workshops, e.t.c. We highly invest in our staff and take them through rigorous training programs to become the BEST in their respective specialization areas. Hence, the successful candidates will have a rare privilege of learning and earning certifications in RedHat and SuSE Sales Specialists. The internship is 3 months long which will be highly engaging. Job Responsibilities          Undertake RedHat and SuSE Sales Specialists programs and successfully earn the certifications          Be trained under the Business Development Manager to learn the basic principles of sales and marketing          Participate in getting leads and potential clients into buying TecFlax Enterprise Products and Services          Seek new business opportunities in line with the organizational growth strategy          Train customers on Value Addition by TecFlax Products and Services          Create awareness of the company marketing strategy & expectations and ensure implementation of agreed objectives at the customer end          Conduct periodic review of Customer KPIs- Sales, Investments, Growth, contribution, Market Share, Data Sharing & Service Levels          Provide insights to the management team on trends, competitor status that will aid in driving business decisions          Ensure compliance to company policies, procedures, commercial terms and local regulations          Resolve any outstanding issues with the concerned customers Minimum Requirements          Diploma/Degree in Sales/Marketing or Equivalent Course          MUST be willing to learn general technical concepts and understand technical knowledge/terminologies          Excellent Communication skills both written and spoken          Good interpersonal and analytical skill          Good sales skills: Ability to call on potential customers, present products, demonstrate and close the sale/deal          If you have done a TECHNICAL course (e.g IT), that will be an added ADVANTAGE.          If you have done Sales/Marketing Job before, that will also be an added ADVANTAGE. How to Apply If you believe Sales and Marketing is your passion and this is the way for your career, have the zeal to meet deadlines and sales targets, a go-getter and possess the minimum qualifications and experience, please send a cover letter and attach your CV (ONLY) quoting the job title on the email subject [ Technical Sales/Marketing Intern ] to [email protected] on/before midnight Thursday 11th January 2018 . The right persons in this role have an opportunity to make a huge impact at TecFlax and shape the way we build our customer facing technology organization. If this sounds like you  please apply! We are leading the transformation of businesses, organizations and governments through technology and innovation! Note: Due to the volume of applications received, we can only respond to the most qualified applicants. Thank you for your understanding. We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status or disability status.",2018-01-04
Heinken Are Hiring Massively,https://opportunitiesforyoungkenyans.co.ke/2018/01/04/heinken-hiring-massively/,Henken Wine Agency Ltd is looking for distributors to take our beverage products to the grassroots. Invest KES. 220k with us and stand a chance of making KES. 200k per month as a distributor with us. Talk to us via the contacts below for more information.,2018-01-04
D&S Are Hiring,https://opportunitiesforyoungkenyans.co.ke/2018/01/04/accounts-manager-wanted/,"The Davis & Shirtliff Group is the leading supplier of water and energy solutions in the region. The group is Kenyan based and operates through a network of Kenyan branches as well as regional subsidiaries in Uganda, Tanzania, Zambia, Rwanda and South Sudan. The company has a total complement of over 600 highly trained and professional staff spread across the region. We are looking for qualified and talented young engineering professionals to fill in the following position. Sales Engineer Intern The candidates will meet the following requirements: Graduate Engineer in any engineering discipline from a recognised University, with a minimum of Upper Second Honours degree. Proficient in the use of Microsoft office suite. Valid driving license and having AutoCAD skills is an added advantage. The successful candidates will join the companys internship programme details of which are on the company website and will be posted to any of the companys many branches across the country. This provides an exciting opportunity to join a dedicated team of dynamic experts who derive satisfaction from Improving Peoples Lives through Providing Water and Energy Solutions for Africa. Interested applicants meeting these requirements should apply for the role by 31 st January 2018 .",2018-01-04
Maisha Bora Sacco Hiring Cashiers,https://opportunitiesforyoungkenyans.co.ke/2018/01/04/maisha-bora-sacco-hiring-cashiers/,,2018-01-04
"Sixty Four Hiring Waiters, Waitress, Cashiers, Mixologists, Cooks, Supervisors",https://opportunitiesforyoungkenyans.co.ke/2018/01/04/sixty-four-hiring-waiters-waitress-cashiers-mixologists-chef/,,2018-01-04
Apply For Paid Internship Opportunities At Elimu Holdings Limited,https://opportunitiesforyoungkenyans.co.ke/2018/01/04/apply-paid-internship-opportunities-elimu-holdings-limited/,"Tech Internship Vacancy January 4, 2018 Elimu Holdings is an ed-tech company that deals with schools, teachers, corporate bodies and the general public. We are happy to offer a tech internship lasting between 3  6 months. The internship leads to full employment positions based on performance. Qualifications and Duties: BSc. Computer Science or Information Technology or equivalent Must have completed their studies The intern will be involved in tech support as well as minor programming tasks. Thus, the intern must be knowledgeable in web programming especially PHP, MySQL, HTML5, Bootstrap (and other frameworks). Knowledge in Android App development and maintenance will also be a must. Good communication skills will be needed as well as the ability to work in a team. The intern(s) will be paid KES 10,000 per month during the internship period. If you are interested in this position, send your application letter and CV via email with the Subject Tech Internship Application to [email protected] before 8th January, 2018.",2018-01-04
KTN Are Hiring,https://opportunitiesforyoungkenyans.co.ke/2018/01/04/ktn-hiring-2/,"The Standard Group is looking for qualified and experienced team players to fill the following positions: a. Anchor b. Copy Writer c. Camera Operator d. Sub Editor e. Senior Librarian f. Video Editor(s) g. TV Producer... Visit https://www. standardmedia.co.ke/recruitment/ to APPLY current Vacancies NO JOB TITLE CLOSING DATE JOB DETAILS APPLY 1 ANCHOR 28 Wed Feb, 2018 12:00am Download Apply 2 CAMERA OPERATOR 28 Wed Feb, 2018 12:00am Download Apply 3 COPY WRITER 28 Wed Feb, 2018 12:00am Download Apply 4 STUDIO TECHNICAL OPERATOR 28 Wed Feb, 2018 12:00am Download Apply 5 TV GRAPHIC DESIGNER 28 Wed Feb, 2018 12:00am Download Apply 6 TV SUB EDITOR 28 Wed Feb, 2018 12:00am Download Apply 7 SENIOR LIBRARIAN 31 Wed Jan, 2018 12:00am Download Apply 8 VIDEO EDITOR 12 Fri Jan, 2018 12:00am Download Apply 9 TV PRODUCER 12 Fri Jan, 2018 12:00am Download Apply 10 AC TECHNICIAN 10 Wed Jan, 2018 12:00am Download Apply Standard Group Kenya  Recruitment Portal",2018-01-04
More Than 600 Teaching Vacancies Available As From Jan 2018,https://opportunitiesforyoungkenyans.co.ke/2018/01/04/teaching-vacancies-2018/,39808,2018-01-04
Apply For Over 500 Training Scholarships At Kenya Christian Industrial Training Institute,https://opportunitiesforyoungkenyans.co.ke/2018/01/04/apply-500-training-scholarships-kenya-christian-industrial-training-institute/,"Kenya Christian Industrial Training Institute (KCITI) located at 3rd Avenue, 5th street through funding from KCB and Germany (GIZ) has over 500 chances full scholarships available for all interested in learning and acquiring practical skills in areas such as Plumbing, Electrical Wireman, Welding, Fabrication, Automotive Technology, Masonry and catering. The scholarship covers Grade 1,2 and 3. Each examined by NITA every 6 months. Application If you know anyone interested kindly refer them to the school, or any KCB branch countrywide. Classes begin January 8.",2018-01-04
NITA Is Calling For Scholarship Applicants In 2018,https://opportunitiesforyoungkenyans.co.ke/2018/01/05/nita-calling-scholarship-applicants-2018/,"The National Industrial Training Authority (NITA) sponsors Twenty five (25) Kenyan female students from needy  backgrounds annually to pursue engineering courses at craft and diploma levels in an effort to reduce gender disparity in technical/engineering courses as part of its Corporate Social Investment. Through this affirmativeaction, this program was started in 2006 and to date over 270 young Kenyan female students have benefited across The Authority invites applications from Kenyan female form four leavers from Arid and Semi-Arid Lands (ASAL) areas who wish to pursue engineering courses at craft and diploma levels. These marginal areas include: Mandera, Turkana, The successful applicants will be sponsored for training in various Public Technical Training Institutions instarting May 2018. Training opportunities are clustered in the following disciplines: 1. Mechanical Engineering 2. Agricultural Engineering 3. Electrical/Electronics 4. Automotive 5. Surveying 6. Building/civil engineering Eligibility Applicants should be willing to learn and possess an aptitude towards a technical career in addition to the following minimum academic requirements:- Diploma- KCSE-Minimum Mean Grade of C (Plain), with at least (C+ Plus) in physics and English Craft- KCSE-Minimum Mean Grade of D + (Plus), with at least C- (Minus) in Mathematics D+ (plus) in Physics and English. APPLICATION Only females who meet the above requirements and are from the areas stated above may apply for sponsorship by: 1. Submitting a hand written justification of not more than three hundred (300) words indicating why they deserve the training and the sponsorship. 2. Applicants must attach copies of academic certificates, testimonials and National Identity Card. 3. Applicants should select ANY TWO courses from the different clusters listed below. 4. Applicants should use the guidelines below [ also available on our website: [www.nita.go.ke] and submit the same to the Director General, National Industrial Training Authority (NITA), P.O BOX 74494-00200, Nairobi, soas to be received on or before 8th January 2018. Late applications will not be considered. nita 16 11 2017(1)",2018-01-05
Apply For These Compiled 100 Jobs From Jan 2018,https://opportunitiesforyoungkenyans.co.ke/2018/01/05/apply-compiled-100-jobs-jan-2018/,"Caution Avoid sending any kind of help such as money so that you can secure the job. Dont send any facilitation fee such as medical fee, training fee, registration fee, documents processing fee, commission fee or entrance fee. If they need your money, let them deduct from your first salary. Remember also not to hand in your valuables such as mobile phones, wallets, purse, personal bags etc. Keep them safe within yourself. St Marys Mission hosp is looking for nurses, lab & pharm techs, Clinical Officers including specialities like ENT, Anaesthesia, Theatre, to fill many positions for thier branches in Gilgil n Nairobi. If interested please send ua CV to Dr Njue -email [email protected] pls share to a friend also if interested. *RESTAURANT* and lounge urgently requires waitresses 19-24yrs, cooks, cashiers, supervisors&grillsman in both syokimau and kitengela establishment lady accountant/Stocks controller in Nbi town office Call 0722137869 *RECEPTIONIST* computer literate 2years experience 0704269887 looking for 2 waiters and 1 cleaner for a newly opened hotel. Pay 12k. Send your application to [email protected] or call 0790003373.(Fridah) https://m.facebook.com/fridah. rito?refid=46 We are looking for graduates in finance/statistics/accounts/ BBM. for position of Stock market analysts.They should be  residents of Nairobi and its environs.If you know of anyone ask them to send their applications to [email protected] before 5th January 2018. I am looking for someone who has done an economics or finance degree and graduated in 2016 or 2017If you have someone in mind, pls ask them to send their cv by 1pm today to [email protected] We are looking for a supply chain security manager to be based in the new Kisumu Breweries. Experience in supply chain a critical advantage. Must be a university graduate. Send your cv [email protected] We are looking for an Airfreight Sales Executive-Degree in any business course and a diploma in Sales. Should have experience from a clearing and forwarding company preferably in Sales. At least 2 years experience. Cvs should be sent to [email protected] on or before 12th January 2018 A newly established hotel in Wote,Makueni is looking for waiters,cleaners and floor supervisors. At least 3 months experience. Interested candidates should call 0790003373(Frida) Ecobank is looking for a legal officer with a minimum of 5 years experience. Paying 200-300k. If you know anyone who would be interested, please ask them to urgently send their CV today to [email protected] . Thanks urgently looking for CVs for recent graduates with Higher National Diploma in HRM for Internship positions, please share the Cvs at [email protected] We are looking for a high calibre Personal Assistant for an international organization. To have worked as PA and have good secretarial and computer skills, preferably a graduate with vast experience  good salary. Please refer some. [email protected] looking for a H.R intern to be based in Nairobi. Send CVs to [email protected] Urgently looking for sales executive candidates for a Manufacturing company. Experience in the same is a MUST. Salary 40K. Please send cvs to [email protected] a H.R intern to be based in Nairobi. Send CVs to [email protected] looking for CVs for recent graduates with Higher National Diploma in HRM for Internship positions, please share the Cvs at [email protected] Wote,Makueni is looking for waiters,cleaners and floor supervisors. At least 3 months experience. Interested candidates should call 0790003373(Frida) looking for a housekeeper someone who can cook Chinese food. Salary range 20k-25k Accommodation provided. If you have some referals or know someone tell them to send CVs to [email protected] . This position is urgent Share widely We are looking for: 1.MANAGEMENT DEPARTMENT MANAGERS ASSISTANT MANAGERS ACCOUNTANTS WARE HOUSE MANAGERS RECEPTIONISTS  SECRETARIES 2.SALES AND MARKETING DEPARTMENT MARKETERS SALES LADIES SALES MEN DISTRIBUTORS Training which is COMPULSORY is done for free for people interested in management For more information call 0724678778 and be part of this great international company",2018-01-05
We Fam Are Hiring 3 Interns,https://opportunitiesforyoungkenyans.co.ke/2018/01/05/fam-hiring-interns/,"Interns Kenya Role:  Intern Location: Kenya- Nairobi Office Duration: 3 Months Do you have the talent to join multi-award winning startup Wefarm? We are looking for 3 interns to join our Nairobi Team. Wefarm, the worlds largest farmer-to-farmer digital network, enables farmers to connect with one another to solve problems, share ideas and spread innovation. Utilising the latest machine learning technology, Wefarms service works both online and over SMS. Knowledge shared on Wefarm can help farmers to produce higher quality product, increase yields, gain insight into market pricing, tackle the effects of climate change, diversify agricultural interests, and much more. Since its founding in 2015, Wefarm has been named one of Africas Most Innovative Companies by FastCompany and has won Googles Impact Challenge Award, TechCrunchs Europas-Tech for Good Award, and the European Union Commissions Ideas from Europe prize, among others. Weve been covered on CNN, the BBC, Wired, TechCrunch, Forbes, the FT and more. The company is headquartered in London with offices in Nairobi and Kampala. The Role Wefarms Internship Program is looking for graduates who are eager to learn and passionate about what we do. This roles will help you build on your knowledge and skills, and equip you to grow in the career you want or help you find what you are great at!. Interested candidates will spend significant time working with our engagement, marketing and communications departments. You will get the chance to experience the dynamics of our international team and focus on one of the following areas: Tasks  in Engagement Responding to farmer questions to improve Wefarm users experience. Reach out to farmers for feedback, data collection and any other need that arise. Help  implement any engagement projects Analyse engagement of users on different User acquisition channels Tasks in Marketing (Comms) Assist in developing and implementing marketing and public  activities Conduct research and analysis on various media functions Maintain an up to date media contact list Assist in preparing press alerts and releases Respond to media requests and coordinate with other departments to proactively pitch stories Help build case-studies, reports, blog posts etc to tell our story and demonstrate impact Maintain calendar for thought-leadership opportunities and speaking engagements Tasks in Marketing (PR & Social Media) Social Media Community management Assist in creating content and marketing material (working knowledge of Adobe Creative suite required) Manage content schedule/ calendar on a weekly and monthly basis Assist in deploying marketing campaigns; online and above the line Monitor, analyse and report on  social media analytics Qualifications, Skills and Experience Engagement Intern Be a final year student or must have recently completed his or her studies with a degree in General Agriculture or Agricultural Extension and Education. Broad knowledge and understanding of farming in Kenya. Marketing and Communications Degree in marketing, PR and Communications or any other relevant discipline Strong understanding of content management systems. Excellent understanding of digital marketing, search engine optimization and how social media impacts this Extensive work experience is not a requirement, but dedication to learning and a true passion for the business are vital. Desire to develop a deep understanding of the Wefarm mission How to Apply: To apply, please send us your CV and a one-page cover letter explaining why you are a good fit for Wefarm and answering the following question Wefarm has been invited to a farmer field day event. Explain how  you would go about signing up  20%  of farmers attending the event. Please send your application to [email protected] (note, we will review and interview on an ongoing basis). Unfortunately, we will only be able to respond to shortlisted candidates.",2018-01-05
